               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12362,            0.034771,                   0,               0.002,            0.031915,            0.002155,          0.00035354,            0.079411,            0.023523,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.10626,            0.032904,                   0,              0.0025,             0.06383,            0.001975,          0.00057325,            0.063678,            0.021538,                   0,            0.082862,           0.0018624,           0.0018624
                   2,            0.095004,            0.036327,                   0,           0.0067264,             0.11702,           0.0080803,           0.0027461,            0.054582,            0.018992,                   0,            0.073785,           0.0027852,           0.0027852
                   3,            0.087027,            0.033796,                   0,             0.18085,             0.10638,            0.064248,            0.021176,            0.048063,            0.017113,                   0,            0.064668,           0.0036683,           0.0036683
                   4,            0.084975,            0.034768,                   0,             0.31328,             0.34043,             0.20837,             0.06302,            0.044597,            0.016069,                   0,            0.055512,           0.0045119,           0.0045119
                   5,            0.075931,            0.033462,                   0,             0.35507,             0.42758,             0.29904,            0.089547,            0.043018,            0.015062,                   0,            0.046316,           0.0053159,           0.0053159
                   6,            0.071768,            0.034006,                   0,             0.24146,             0.32512,             0.18852,            0.057082,            0.050344,            0.013656,                   0,             0.03708,           0.0060803,           0.0060803
                   7,            0.071011,            0.032569,                   0,             0.27456,             0.55161,             0.32369,             0.11091,            0.041128,            0.014087,                   0,            0.027805,           0.0068051,           0.0068051
                   8,            0.067402,            0.035205,                   0,             0.25582,             0.51064,             0.25367,            0.084376,            0.041491,            0.015094,                   0,             0.01849,           0.0074902,           0.0074902
                   9,            0.066727,             0.03386,                   0,             0.31594,             0.29787,             0.19237,            0.047176,            0.048104,             0.01574,                   0,           0.0091358,           0.0081358,           0.0081358
                  10,            0.069838,            0.032238,                   0,             0.27496,             0.29787,             0.18204,            0.071925,            0.058366,            0.014344,                   0,             0.00802,             0.00802,             0.00802
                  11,            0.065515,            0.029787,                   0,             0.31666,             0.30851,               0.238,             0.10879,            0.048697,            0.015227,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.060814,            0.032365,                   0,             0.37336,             0.38298,             0.29854,             0.11615,            0.046134,            0.013855,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.061471,            0.031416,                   0,             0.50163,             0.72814,             0.50295,             0.20274,            0.035294,            0.011013,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.059809,            0.028187,                   0,               0.573,             0.67021,             0.63226,              0.2521,            0.032417,            0.010108,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.052404,            0.028669,                   0,              0.5197,             0.59574,              0.5216,             0.18877,            0.035568,           0.0098164,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.057879,            0.027384,                   0,             0.50169,             0.60638,              0.5262,             0.18626,            0.034744,           0.0096717,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.054247,             0.02844,                   0,              0.5723,             0.64894,             0.56312,             0.24231,            0.031783,            0.009274,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.05454,            0.027802,                   0,             0.58909,             0.71683,             0.68745,              0.3519,            0.030643,           0.0088911,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.052934,             0.02847,                   0,             0.65846,             0.61531,             0.65186,             0.31205,            0.030965,           0.0094113,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.052788,            0.029089,                   0,             0.67248,             0.61163,             0.63275,             0.29869,            0.029438,           0.0099909,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.04828,            0.024454,                   0,             0.56354,             0.64894,             0.54656,             0.25448,            0.030143,           0.0096926,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.049114,            0.026531,                   0,             0.57131,             0.66637,             0.57276,             0.28986,            0.028481,           0.0093095,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.045121,            0.029017,                   0,             0.59713,             0.64894,              0.5886,             0.32057,            0.026814,           0.0095346,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.048244,            0.025396,                   0,             0.67681,             0.62766,             0.65521,             0.34615,            0.026055,           0.0088346,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.047854,            0.024176,                   0,             0.73051,             0.64894,             0.71473,             0.35091,            0.026526,           0.0087242,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.045809,             0.02899,                   0,              0.6654,             0.65585,             0.68257,             0.34494,            0.025124,           0.0086411,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.04431,            0.026463,                   0,             0.72715,             0.68085,             0.76722,             0.38908,            0.026114,           0.0080866,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.044448,            0.026647,                   0,             0.69187,             0.71664,             0.75162,             0.38274,            0.026435,           0.0079793,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.044894,            0.025682,                   0,             0.64043,             0.66321,             0.67936,             0.37419,            0.030305,            0.008065,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.044102,            0.025522,                   0,             0.66747,             0.66199,             0.69125,             0.41396,            0.024804,           0.0079397,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.041302,            0.025193,                   0,             0.67255,             0.78661,             0.72756,             0.38637,            0.022923,           0.0076429,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.044458,            0.025061,                   0,             0.69913,             0.75532,             0.74293,             0.40744,            0.023027,           0.0075318,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.041695,            0.024889,                   0,             0.79628,             0.74852,             0.79019,             0.48099,            0.022445,           0.0071902,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.041513,            0.024293,                   0,             0.85237,             0.71277,             0.80687,             0.45276,             0.02252,           0.0071377,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.040509,            0.024236,                   0,             0.79005,             0.73404,             0.80677,             0.46334,            0.022855,           0.0072094,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.039154,            0.023692,                   0,             0.78855,             0.73404,             0.80722,             0.46049,            0.023649,           0.0072439,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.037059,            0.022572,                   0,             0.85758,             0.73404,              0.8235,              0.4878,            0.023773,           0.0073733,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.036928,            0.021906,                   0,              0.8664,             0.73404,             0.83559,             0.50678,            0.023075,           0.0073043,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.037319,            0.022893,                   0,             0.84217,             0.75532,             0.81715,             0.49866,            0.022908,           0.0069428,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.039704,            0.023004,                   0,             0.84142,             0.76596,             0.83791,             0.51374,            0.021195,           0.0069301,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.036569,            0.022323,                   0,             0.81489,             0.78723,             0.81818,             0.48732,            0.020573,           0.0068476,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.038717,            0.023598,                   0,             0.86606,             0.75532,             0.82846,             0.48356,             0.02127,           0.0067994,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.034651,            0.019974,                   0,             0.85883,             0.71191,              0.7899,             0.47447,            0.021491,            0.006862,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.036684,            0.022141,                   0,             0.86866,             0.73404,              0.8085,             0.48505,            0.020779,            0.006851,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.036325,             0.02255,                   0,             0.87164,              0.7234,             0.81061,             0.49377,            0.020668,           0.0067757,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.037086,            0.022227,                   0,              0.8591,             0.71354,             0.80577,             0.47403,            0.021312,           0.0067052,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.03677,            0.023601,                   0,             0.87667,             0.73404,             0.82602,              0.5043,            0.020009,           0.0066371,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.035496,            0.021922,                   0,             0.84163,             0.73404,             0.82401,             0.50522,            0.020106,           0.0066547,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.034846,            0.022443,                   0,             0.83503,             0.75532,             0.81931,             0.50603,                0.02,           0.0066387,                   0,            0.000496,            0.000496,            0.000496
